company,job-title,level,sql,python,excel, r ,", r,",tableau,power bi, ml ,", ml,",machine learning,remote,da,ds,country
Crossover ,"Artificial Intelligence Engineer, Trilogy (Remote) - $200,000/year USD",Director,0,0,0,0,0,0,0,0,0,0,1,0,1,aus
Jobs for Humanity,Python Developer,Mid-Senior level,1,1,1,0,0,0,0,0,0,0,0,0,1,aus
CryptoRecruit ,Rust Engineer,Entry level,0,0,0,0,0,0,0,0,0,0,1,0,1,aus
CodeMaya,React JS Developer (Closed),Entry level,0,0,0,0,0,0,0,0,0,0,0,0,1,aus
Hawksworth,Software Engineer (EDIFACT & ICS) - $150k-$160k + super,Associate,0,0,0,0,0,0,0,0,0,0,1,0,1,aus
Datacom,AI Developer,Entry level,0,1,0,0,0,0,0,0,0,0,0,0,1,aus
Workforce Australia for Individuals,Software Engineer,Entry level,0,0,1,0,0,0,0,0,0,0,0,0,1,aus
Talent,Senior Python Developer,Mid-Senior level,0,1,0,0,0,0,0,0,0,0,0,0,1,aus
RecordPoint,Graduate Software Engineer - Melbourne 2024,Entry level,0,0,1,0,0,0,0,0,0,0,0,0,1,aus
Nexus Silicon Technologies,Artificial Intelligence Internship,Internship,0,1,1,1,0,0,0,0,0,1,0,0,1,aus
Fingerprint for Success (F4S),Expression of Interest: Mobile Application Developer,Mid-Senior level,0,0,0,0,0,0,0,0,0,0,0,0,1,aus
Datacom,AI Developer,Entry level,0,1,0,0,0,0,0,0,0,0,0,0,1,aus
Workforce Australia for Individuals,Staff Data Scientist,Entry level,0,1,0,0,0,0,0,0,0,0,0,0,1,aus
Elliott Gray Pty Ltd,Python Software Developer,Mid-Senior level,0,1,0,0,0,0,0,0,0,0,1,0,1,aus
Workforce Australia for Individuals,Full Time Software Engineer,Entry level,0,0,1,0,0,0,0,0,0,0,0,0,1,aus
Cobblestone Energy,"DATA SCIENTIST - Dubai, UAE",Entry level,0,1,1,0,0,0,0,0,0,1,0,0,1,aus
Thermo Fisher Scientific,Bioprocess Scientist DSP,Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,1,aus
Life Trading,Python Developer,Entry level,1,1,1,0,0,0,0,0,0,0,0,0,1,aus
Hunter&Talent,Python Developer,Entry level,0,1,0,0,0,0,0,0,0,0,0,0,1,aus
FRG Technology Consulting,Data Scientist,Entry level,1,1,1,0,0,1,1,0,0,0,0,0,1,aus
SICE ANZ,Junior Software Engineer,Associate,1,0,1,0,0,0,0,0,0,0,0,0,1,aus
Cobblestone Energy,"GRADUATE SOFTWARE ENGINEER - Dubai, UAE",Entry level,1,1,1,0,0,1,0,0,0,0,0,0,1,aus
Cash App,Senior Machine Engineer,Associate,1,1,0,0,0,0,0,1,0,1,1,0,1,aus
BizCover,Software Engineer x 2,Mid-Senior level,1,0,0,0,0,0,0,0,0,0,0,0,1,aus
SICE ANZ,Junior Software Engineer,Associate,1,0,1,0,0,0,0,0,0,0,0,0,1,aus
Workforce Australia for Individuals,Data Scientist,Entry level,0,1,0,0,0,0,0,1,0,1,0,0,1,aus
Technology People Group,Data Scientist,Entry level,0,1,0,0,1,1,0,0,0,1,1,0,1,aus
Hallis,Data Scientist,Not Applicable,1,1,0,0,0,0,1,0,0,1,0,0,1,aus
Workforce Australia for Individuals,Machine Learning Engineer,Entry level,0,0,0,0,0,0,0,0,0,1,0,0,1,aus
Workforce Australia for Individuals,Engineering and Data Scientists - Machine Learning and Analytics Engineering,Entry level,1,1,0,0,0,0,0,1,0,1,0,0,1,aus
onpoint 365,Machine Learning Engineer,Entry level,1,1,0,0,0,0,0,0,0,1,0,0,1,aus
FRG Technology Consulting,Data Scientist,Entry level,1,1,1,0,0,1,1,0,0,0,0,0,1,aus
Robert Walters,Data Scientist,Entry level,0,1,0,0,0,0,0,0,0,1,0,0,1,aus
D'Arcy Weil,Data Scientist - Energy Markets,Entry level,0,1,1,0,1,1,1,0,0,1,0,0,1,aus
Workforce Australia for Individuals,Engineering and Data Scientists - Business Intelligence and Data Analytics,Entry level,0,0,0,0,0,0,0,0,0,0,0,0,1,aus
Datacom,AI Developer,Entry level,0,1,0,0,0,0,0,0,0,0,0,0,1,aus
Workforce Australia for Individuals,Customer Data Scientist,Entry level,1,1,0,0,0,0,0,0,0,0,0,0,1,aus
Datacom,AI Developer,Entry level,0,1,0,0,0,0,0,0,0,0,0,0,1,aus
Datacom,AI Developer,Entry level,0,1,0,0,0,0,0,0,0,0,0,0,1,aus
Cobblestone Energy,"JUNIOR DATA SCIENTIST - Dubai, UAE",Entry level,1,1,0,0,0,0,0,0,0,0,1,0,1,aus
Cobblestone Energy,"JUNIOR DATA SCIENTIST - Dubai, UAE",Entry level,1,1,0,0,0,0,0,0,0,0,1,0,1,aus
Cobblestone Energy,"JUNIOR DATA SCIENTIST - Dubai, UAE",Entry level,1,1,0,0,0,0,0,0,0,0,1,0,1,aus
